日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150326","2432","倚天酷碁-創","18072","491575","27.10","27.35","27.05","27.35","0.1000","14"
"1150326","2433","互盛電","37145","1696453","45.85","45.85","45.60","45.65","-0.2000","43"
"1150326","2434","統懋","8048","235196","29.50","29.50","29.05","29.05","-0.1500","12"
"1150326","2436","偉詮電","3997965","247356331","64.00","64.40","60.40","60.50","-2.7000","4233"
"1150326","2438","翔耀","139288","3092874","22.15","22.70","22.00","22.40","-0.1000","226"
"1150326","2439","美律","915069","77910265","85.10","85.50","84.70","85.00","-0.1000","1690"
"1150326","2440","太空梭","216109","3112617","14.25","14.55","14.10","14.35","0.0500","110"
"1150326","2441","超豐","10021110","968326001","93.90","98.60","93.70","95.50","2.4000","8360"
"1150326","2442","新美齊","1714993","35329108","20.75","20.85","20.35","20.40","-0.2500","1624"
"1150326","2444","兆勁","508899","6675271","13.50","13.50","12.95","12.95","-0.4000","384"
"1150326","2449","京元電子","15867718","4632150966","291.00","298.50","288.00","288.00","-0.5000","16079"
"1150326","2450","神腦","163815","4794439","29.40","29.40","29.15","29.15","-0.2000","234"
"1150326","2451","創見","3786861","918899831","247.00","250.00","235.00","242.00","-13.0000","5129"
"1150326","2453","凌群","488601","26198590","54.20","54.50","53.00","53.00","-1.3000","725"
"1150326","2454","聯發科","7833984","12615638600","1610.00","1640.00","1590.00","1590.00","-30.0000","43055"
"1150326","2455","全新","60013072","16855082004","274.00","293.00","268.50","272.00","5.5000","56718"
"1150326","2457","飛宏","1734598","46251320","26.80","27.15","26.30","26.35","-0.2500","1682"
"1150326","2458","義隆","9950515","1252786318","127.50","127.50","124.00","126.50","0.0000","7633"
"1150326","2459","敦吉","18888","1243330","66.00","66.00","65.60","65.80","0.1000","35"
"1150326","2460","建通","175463","4336752","25.15","25.15","24.45","24.70","-0.2000","218"
"1150326","2461","光群雷","669623","11694631","17.55","17.65","17.20","17.40","-0.0500","531"
"1150326","2462","良得電","929995","21710112","23.60","23.95","22.80","22.90","0.0000","683"
"1150326","2464","盟立","3197430","233489060","74.90","75.00","71.70","72.30","-2.1000","3814"
"1150326","2465","麗臺","359926","19972919","56.50","56.70","54.20","54.20","-1.4000","933"
"1150326","2466","冠西電","549527","27855763","53.40","53.60","49.35","49.35","-2.9500","434"
"1150326","2467","志聖","9310266","3817763507","405.00","422.00","397.00","414.00","9.5000","11136"
"1150326","2468","華經","411780","15457882","38.30","38.30","37.00","37.00","-1.1500","381"
"1150326","2471","資通","103132","5375046","51.90","52.40","51.90","52.00","-0.4000","131"
"1150326","2472","立隆電","3903236","504312228","128.00","132.00","126.50","126.50","-0.5000","3605"
"1150326","2474","可成","1797547","339822912","187.50","190.50","187.50","189.50","2.0000","1497"
"1150326","2476","鉅祥","1165435","98906220","85.40","85.80","83.70","84.50","-0.1000","834"
"1150326","2477","美隆電","214623","5159355","24.40","24.40","23.90","24.00","-0.2000","127"
"1150326","2478","大毅","1121537","69578754","63.10","63.70","61.20","61.30","-1.3000","1243"
"1150326","2480","敦陽科","100405","14188124","141.50","143.00","140.50","140.50","-1.0000","1799"
"1150326","2481","強茂","25290894","2571354587","100.50","105.00","99.70","99.70","-0.3000","17147"
"1150326","2482","連宇","454741","7864881","17.60","17.60","17.10","17.35","-0.1500","1576"
"1150326","2483","百容","105578","2235758","21.10","21.35","21.05","21.15","-0.0500","74"
"1150326","2484","希華","2693915","77275853","29.35","29.40","28.10","28.10","-1.0000","2259"
"1150326","2485","兆赫","10795962","872932124","81.50","83.20","78.00","78.70","-1.3000","10449"
"1150326","2486","一詮","1514055","227798917","154.50","154.50","147.50","147.50","-7.0000","1270"
"1150326","2488","漢平","88218","4243871","48.25","48.25","47.90","48.10","0.0000","189"
"1150326","2489","瑞軒","72322697","2265808690","32.80","33.10","29.45","31.90","-0.7000","35659"
"1150326","2491","吉祥全","113971","1849100","16.15","16.55","16.05","16.10","0.0000","101"
"1150326","2492","華新科","4130200","532219852","129.00","131.50","126.00","126.50","-2.0000","3694"
"1150326","2493","揚博","411445","44397112","111.50","111.50","106.00","107.00","-2.5000","750"
"1150326","2495","普安","7194967","256453049","36.80","37.20","34.60","34.70","-1.9500","4474"
"1150326","2496","卓越","63583","4416773","69.80","69.80","69.20","69.60","0.4000","80"
"1150326","2497","怡利電","251658","11285749","45.00","45.70","44.20","44.30","-0.4000","243"
"1150326","2498","宏達電","4828261","197486041","41.55","41.75","40.15","40.15","-0.9000","3147"
"1150326","2501","國建","2522387","60236800","24.20","24.20","23.70","23.90","-0.1500","1151"
"1150326","2504","國產","2877800","110059795","39.00","39.00","37.75","37.80","-1.1000","2507"
"1150326","2505","國揚","163331","3147293","19.40","19.40","19.10","19.10","-0.2000","139"
"1150326","2506","太設","63739","572629","9.06","9.06","8.92","9.01","-0.0100","97"
"1150326","2509","全坤建","71400","1018411","14.25","14.35","14.20","14.20","-0.0500","89"
"1150326","2511","太子","393291","3203521","8.16","8.18","8.12","8.12","-0.0100","238"
"1150326","2514","龍邦","106573","1457849","13.75","13.75","13.65","13.65","0.0000","78"
"1150326","2515","中工","6595506","90253222","13.95","13.95","13.50","13.55","-0.2500","2448"
"1150326","2516","新建","198879","2798431","14.55","14.55","14.00","14.05","-0.1500","140"
"1150326","2520","冠德","1462210","46885288","31.90","32.35","31.85","32.05","0.5500","1363"
"1150326","2524","京城","40726","1546969","38.70","38.70","37.55","37.55","-0.7500","159"
"1150326","2527","宏璟","142305","4195563","29.70","29.70","29.30","29.50","0.0500","88"
"1150326","2528","皇普","619590","15761514","25.60","25.70","25.30","25.70","0.0000","432"
"1150326","2530","華建","428200","10795785","25.20","25.55","25.00","25.05","-0.0500","255"
"1150326","2534","宏盛","608207","12239030","20.25","20.30","20.00","20.05","-0.2000","501"
"1150326","2535","達欣工","464069","34084082","74.50","74.50","72.80","72.90","-1.0000","1153"
"1150326","2536","宏普","550266","12423946","22.40","22.70","22.40","22.45","0.0500","117"
"1150326","2537","聯上發","469661","4927495","10.60","10.60","10.40","10.40","-0.0500","335"
"1150326","2538","基泰","120597","1234769","10.30","10.30","10.15","10.20","0.0000","89"
"1150326","2539","櫻花建","549511","26765379","49.00","49.15","48.35","48.50","-0.2000","732"
"1150326","2540","愛山林","713017","34192880","47.65","48.35","47.50","47.80","0.3000","482"
"1150326","2542","興富發","1886889","68029003","36.00","36.30","35.90","35.90","-0.2000","1483"
"1150326","2543","皇昌","3410158","216592864","66.40","66.40","62.60","62.60","-2.9000","2514"
"1150326","2545","皇翔","141452","5220065","37.30","37.40","36.60","36.60","-0.3500","193"
"1150326","2546","根基","69188","5788387","83.60","84.00","83.30","83.50","-0.1000","342"
"1150326","2547","日勝生","1152754","12518639","10.90","11.00","10.80","10.80","-0.1000","493"
"1150326","2548","華固","3144172","388248941","123.50","126.00","121.00","122.50","-1.0000","2876"
"1150326","2597","潤弘","483763","74077831","155.00","155.00","152.00","152.50","-1.5000","463"
"1150326","2601","益航","1153071","6969479","5.97","6.12","5.96","6.04","0.0400","547"
"1150326","2603","長榮","6049866","1235926413","206.00","206.50","202.50","203.00","-3.0000","8156"
"1150326","2605","新興","31868578","1364358217","42.00","43.70","41.90","42.75","0.4000","17881"
"1150326","2606","裕民","5052395","297885934","60.60","60.60","58.20","58.30","-2.1000","3681"
"1150326","2607","榮運","391863","20201473","52.30","52.30","51.20","51.20","-0.8000","1579"
"1150326","2608","嘉里大榮","143188","4469520","31.40","31.40","31.05","31.10","0.0500","276"
"1150326","2609","陽明","12657082","675126765","54.20","54.30","52.60","52.60","-1.1000","11018"
"1150326","2610","華航","14847779","279209111","18.85","18.95","18.75","18.75","-0.2000","6030"
"1150326","2611","志信","287180","4165299","14.45","14.60","14.45","14.50","-0.0500","512"
"1150326","2612","中航","499767","27687599","56.70","56.90","54.90","55.00","-1.3000","899"
"1150326","2613","中櫃","299232","7027425","23.75","23.75","23.30","23.30","-0.4000","260"
"1150326","2614","東森","493829","10144612","20.75","20.85","20.35","20.50","-0.2500","468"
"1150326","2615","萬海","3618362","272227558","76.00","76.20","74.50","74.50","-1.0000","3530"
"1150326","2616","山隆","2246845","38489292","16.60","18.00","16.50","17.30","0.6500","1897"
"1150326","2617","台航","319090","9776840","31.00","31.00","30.40","30.50","-0.3000","261"
"1150326","2618","長榮航","17287161","614034646","35.10","35.95","35.10","35.35","-0.3000","7598"
"1150326","2630","亞航","965732","47563173","49.75","50.20","48.60","48.60","-1.1000","967"
"1150326","2633","台灣高鐵","5285469","139273258","26.30","26.50","26.25","26.25","-0.2000","2426"
"1150326","2634","漢翔","5498858","276858159","51.20","51.20","49.90","49.90","-1.3000","3855"
"1150326","2636","台驊控股","295091","20245215","69.70","69.70","68.20","68.30","-0.5000","740"
"1150326","2637","慧洋-KY","1335548","92731022","70.80","70.80","69.00","69.00","-1.4000","2053"
"1150326","2642","宅配通","62092","1452583","23.50","23.50","23.30","23.35","-0.1000","142"
"1150326","2645","長榮航太","1010662","157876975","156.00","158.50","153.50","154.50","-0.5000","1315"
"1150326","2646","星宇航空","2312239","49825923","21.65","21.70","21.50","21.50","-0.1500","1788"
"1150326","2701","萬企","40483","434758","10.80","10.80","10.70","10.70","-0.0500","35"
"1150326","2702","華園","189166","2290909","12.15","12.30","11.90","12.25","0.0500","203"
"1150326","2704","國賓","45056","1897305","42.55","42.55","41.90","42.40","0.3000","46"
"1150326","2705","六福","133163","2199317","16.40","16.65","16.35","16.60","0.2000","382"
"1150326","2706","第一店","89018","1102337","12.45","12.45","12.35","12.35","-0.0500","100"
"1150326","2707","晶華","32572","6032705","186.00","186.00","184.50","185.50","1.0000","136"
"1150326","2712","遠雄來","6211","90734","14.55","14.70","14.50","14.65","-0.1500","15"
"1150326","2722","夏都","23315","536019","23.30","23.30","22.85","23.00","0.0500","54"
"1150326","2723","美食-KY","187744","13079397","70.70","70.70","69.10","69.30","-1.1000","226"
"1150326","2727","王品","321119","75075012","236.00","236.00","232.00","233.00","-4.0000","2076"
"1150326","2731","雄獅","413971","68808658","168.00","168.00","164.50","164.50","-2.5000","607"
"1150326","2739","寒舍","58008","1972073","33.90","34.15","33.90","34.05","0.0500","35"
"1150326","2748","雲品","72863","2919648","40.00","40.25","39.90","39.90","-0.1000","70"
"1150326","2753","八方雲集","274250","49608291","182.50","182.50","180.00","180.00","-2.0000","448"
"1150326","2762","世界健身-KY","14840","1073832","72.70","72.70","72.00","72.50","-0.2000","51"
"1150326","2801","彰銀","14766448","306108301","20.75","20.80","20.60","20.75","0.0500","3507"
"1150326","2812","台中銀","8414599","174492897","20.70","20.80","20.60","20.70","0.1000","3193"
"1150326","2816","旺旺保","74226","2341651","31.90","31.90","31.30","31.35","-0.2500","80"
"1150326","2820","華票","630627","10588799","16.85","16.85","16.75","16.80","0.0000","450"
"1150326","2832","台產","149878","7092271","47.95","47.95","47.05","47.40","0.0000","311"
"1150326","2834","臺企銀","15906169","240299900","15.15","15.15","15.05","15.05","-0.0500","5033"
"1150326","2836","高雄銀","633185","7688368","12.20","12.20","12.10","12.15","0.0000","262"
"1150326","2836A","高雄銀甲特","21514","524186","24.35","24.50","24.35","24.50","0.1500","16"
"1150326","2838","聯邦銀","1801734","37125643","20.65","20.75","20.45","20.70","0.1500","786"
"1150326","2838A","聯邦銀甲特","10000","546000","54.60","54.60","54.60","54.60","0.1000","2"
"1150326","2845","遠東銀","3811384","47467018","12.45","12.50","12.40","12.50","0.0500","1119"
"1150326","2849","安泰銀","45861","598931","13.05","13.15","13.05","13.05","-0.0500","82"
"1150326","2850","新產","118121","13741154","116.50","117.00","116.00","116.50","0.5000","169"
"1150326","2851","中再保","3792819","117589652","31.80","31.80","30.60","30.65","-0.9500","3045"
"1150326","2852","第一保","168935","4385504","26.05","26.05","25.75","25.95","-0.1000","113"
"1150326","2855","統一證","3659211","118962896","32.40","32.65","32.20","32.45","0.2500","2121"
"1150326","2867","三商壽","6052777","46590902","7.72","7.74","7.66","7.70","0.0400","1615"
"1150326","2880","華南金","9176696","309897946","34.00","34.00","33.60","33.65","-0.5000","5449"
"1150326","2881","富邦金","13848827","1224474894","89.20","89.20","88.00","88.60","-0.2000","8902"
"1150326","2881A","富邦特","13100","837390","64.00","64.00","63.90","64.00","0.0000","7"
"1150326","2881B","富邦金乙特","120423","7521693","62.40","62.50","62.40","62.50","0.0000","23"
"1150326","2881C","富邦金丙特","3604","186492","51.70","51.90","51.70","51.90","0.3000","21"
"1150326","2882","國泰金","13797004","980528902","71.40","71.80","70.70","70.80","-0.6000","6742"
"1150326","2882A","國泰特","170247","10523203","61.70","61.90","61.70","61.90","0.1000","23"
"1150326","2882B","國泰金乙特","65026","3944147","60.60","60.90","60.60","60.90","0.2000","11"
"1150326","2883","凱基金","41486604","827860319","20.35","20.35","19.80","19.80","-0.5500","12076"
"1150326","2883B","凱基金乙特","1478402","11932218","8.06","8.09","8.05","8.09","0.0100","234"
"1150326","2884","玉山金","23136520","745866447","32.45","32.45","32.00","32.35","0.2500","8053"
"1150326","2885","元大金","20850336","961724995","45.85","46.75","45.75","46.05","0.2000","11857"
"1150326","2886","兆豐金","19802542","773355885","39.40","39.40","38.85","39.10","-0.0500","7999"
"1150326","2887","台新新光金","46422059","1124533320","24.65","24.65","24.00","24.15","-0.3000","10002"
"1150326","2887E","台新新光戊特一","199755","10094988","50.30","50.70","50.30","50.50","0.1000","56"
"1150326","2887F","台新新光戊特二","10662","503518","47.25","47.25","47.20","47.20","-0.0500","13"
"1150326","2887G","台新新光庚特一","81894","3408840","41.55","41.65","41.55","41.65","0.1000","34"
"1150326","2887H","台新新光庚特二","110185","4423660","40.15","40.20","40.10","40.15","0.0500","57"
"1150326","2887I","台新新光辛特","12369858","116212681","9.35","9.43","9.34","9.38","0.0300","850"
"1150326","2887Z1","台新新光己特","53100","923929","17.40","17.40","17.40","17.40","0.0000","19"
"1150326","2889","國票金","7379301","121282528","17.30","17.30","16.20","16.25","-1.0500","9802"
"1150326","2890","永豐金","13944032","442373171","32.00","32.00","31.55","31.55","-0.3000","5114"
"1150326","2891","中信金","21292099","1127317047","53.00","53.20","52.60","53.00","0.2000","7099"
"1150326","2891B","中信金乙特","8409","538030","64.00","64.00","64.00","64.00","-0.3000","17"
"1150326","2891C","中信金丙特","397","23926","","","","","0.0000","18"
"1150326","2892","第一金","15913729","456085760","28.85","28.85","28.50","28.65","-0.0500","5119"
"1150326","2897","王道銀行","1390735","13836375","9.96","9.98","9.92","9.94","0.0100","551"
"1150326","2897B","王道銀乙特","9050","107492","11.90","11.90","11.85","11.85","-0.0500","4"
"1150326","2901","欣欣","3793","90312","23.85","23.85","23.75","23.75","0.0500","27"
